City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.22,74,100,17.02,Clear sky
1,Avarua,CK,-21.2078,-159.775,82.45,78,20,19.57,broken clouds
2,Bluff,NZ,-46.6,168.3333,52.81,84,100,5.46,Clear sky
3,East London,ZA,-33.0153,27.9116,67.14,82,0,10.36,Clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,7,4,few clouds
5,Morvi,IN,22.8167,70.8333,63.61,32,0,4.79,haze
6,Busselton,AU,-33.65,115.3333,101.05,33,49,14.79,Clear sky
7,Castro,BR,-24.7911,-50.0119,64.17,98,100,4.05,Clear sky
8,Innisfail,AU,-17.5333,146.0333,79.48,91,100,1.14,heavy intensity rain
9,Micheweni,TZ,-4.9667,39.8333,80.19,79,99,9.08,Clear sky
10,Zhezkazgan,KZ,47.8043,67.7144,-0.42,78,0,13.42,Clear sky
11,Padang,ID,-0.9492,100.3543,84.25,72,84,3.91,broken clouds
12,Kysyl-Syr,RU,63.8986,122.7617,-17.09,96,63,4.47,Clear sky
13,Hilo,US,19.7297,-155.09,74.93,81,100,9.22,Clear sky
14,Mataura,NZ,-46.1927,168.8643,52.48,99,100,2.26,few clouds
15,Lucapa,AO,-8.4192,20.7447,62.6,99,100,2.35,haze
16,Diego De Almagro,CL,-26.3667,-70.05,62.71,41,0,0.25,Clear sky
17,Yellowknife,CA,62.456,-114.3525,-28.44,75,0,5.75,Clear sky
18,Nagato,JP,34.3833,131.2,44.55,52,6,18.23,heavy intensity rain
19,Beloha,MG,-25.1667,45.05,75.33,80,5,11.52,Clear sky
20,Constitucion,CL,-35.3333,-72.4167,58.3,93,55,5.82,Clear sky
21,Ushuaia,AR,-54.8,-68.3,42.46,70,75,18.41,broken clouds
22,Axim,GH,4.8699,-2.2405,77.83,84,1,4,Clear sky
23,Rio Grande,BR,-32.035,-52.0986,70.95,86,100,8.66,Clear sky
24,Jatiroto,ID,-7.8833,111.1167,83.97,65,100,3.62,few clouds
25,Iralaya,HN,15,-83.2333,76.84,86,0,7.92,haze
26,Tiksi,RU,71.6872,128.8694,-11.81,100,100,6.02,Clear sky
27,Tasiilaq,GL,65.6145,-37.6368,12.36,58,83,5.75,Clear sky
28,Along,IN,28.1667,94.7667,64.6,48,29,1.05,heavy intensity rain
29,Lermontovka,RU,47.1453,134.3383,4.19,82,91,5.26,Clear sky
30,Yerbogachen,RU,61.2767,108.0108,9.93,94,100,5.03,Clear sky
31,Hermanus,ZA,-34.4187,19.2345,60.91,72,93,9.89,broken clouds
32,Mandera,KE,3.9366,41.867,76.46,36,88,7.16,Clear sky
33,Vaini,TO,-21.2,-175.2,86.16,79,75,10.36,Clear sky
34,Butaritari,KI,3.0707,172.7902,81.79,77,17,15.19,few clouds
35,Marystown,CA,47.1666,-55.1483,39.85,100,100,7,haze
36,Cayenne,GF,4.9333,-52.3333,79.09,90,75,1.01,Clear sky
37,Mahebourg,MU,-20.4081,57.7,81.25,94,75,20.71,Clear sky
38,Hofn,IS,64.2539,-15.2082,29.64,55,100,18.48,heavy intensity rain
39,Katsuura,JP,35.1333,140.3,46.42,74,100,9.95,Clear sky
40,Hobart,AU,-42.8794,147.3294,75.02,47,20,1.99,Clear sky
41,Seoul,KR,37.5683,126.9778,31.51,34,0,10.36,broken clouds
42,Hirado,JP,33.3597,129.5531,47.55,53,4,17.52,Clear sky
43,Montepuez,MZ,-13.1256,38.9997,69.71,95,100,3.47,Clear sky
44,Victoria,HK,22.2855,114.1577,62.26,73,63,1.99,few clouds
45,New Norfolk,AU,-42.7826,147.0587,74.66,35,3,3,haze
46,Macas,EC,-2.3167,-78.1167,68.56,95,96,1.28,Clear sky
47,Casma,CL,-41.0082,-73.1244,61.88,93,66,3.69,Clear sky
48,Upernavik,GL,72.7868,-56.1549,4.84,68,100,5.66,heavy intensity rain
49,Carnarvon,AU,-24.8667,113.6333,96.87,36,32,9.22,Clear sky
50,Mar Del Plata,AR,-38.0023,-57.5575,69.1,94,95,0,Clear sky
51,Luba,GQ,3.4568,8.5547,80.49,79,82,5.23,broken clouds
52,Dikson,RU,73.5069,80.5464,-8.03,95,100,4.81,Clear sky
53,Ryotsu,JP,38.0833,138.4333,35.56,69,100,5.73,Clear sky
54,Uong Bi,VN,21.0333,106.7833,60.78,59,100,2.57,few clouds
55,Qaanaaq,GL,77.484,-69.3632,-12.75,55,99,8.59,haze
56,Ixtapa,MX,20.7,-105.2,64.26,81,59,2.21,Clear sky
57,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,100,3.44,Clear sky
58,Atuona,PF,-9.8,-139.0333,78.96,71,3,17.87,heavy intensity rain
59,Keti Bandar,PK,24.1447,67.4497,71.58,46,0,5.97,Clear sky
60,Bethel,US,41.3712,-73.414,49.51,93,100,6.91,Clear sky
61,Punta Arenas,CL,-53.15,-70.9167,42.91,61,75,10.36,broken clouds
62,Aykhal,RU,66,111.5,-17.7,100,100,2.59,Clear sky
63,Saint George,US,37.1041,-113.5841,40.24,32,0,3,Clear sky
64,Arraial Do Cabo,BR,-22.9661,-42.0278,75.45,91,100,7.83,few clouds
65,El Fuerte,MX,26.4189,-108.6194,60.1,27,0,2.68,haze
66,Hithadhoo,MV,-0.6,73.0833,81.73,74,100,10.11,Clear sky
67,Sorland,NO,67.667,12.6934,24.46,91,100,29.21,Clear sky
68,Talnakh,RU,69.4865,88.3972,-13.67,99,78,7.09,heavy intensity rain
69,Severo-Kurilsk,RU,50.6789,156.125,30.94,88,100,10.27,Clear sky
70,Aranos,NA,-24.1333,19.1167,72.95,41,80,9.95,Clear sky
71,Xingyi,CN,24.1877,102.817,57.54,50,18,6.64,broken clouds
72,Barrow,US,71.2906,-156.7887,-25.58,91,100,0,Clear sky
73,Fortuna,US,40.5982,-124.1573,46.18,91,0,0,Clear sky
74,Narsaq,GL,60.9167,-46.05,25.02,96,100,9.31,few clouds
75,Cherskiy,RU,68.75,161.3,-30.35,99,13,2.53,haze
76,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,6.91,Clear sky
77,Nikolskoye,RU,59.7035,30.7861,-0.09,100,100,2.84,Clear sky
78,Kavieng,PG,-2.5744,150.7967,83.73,71,64,6.93,heavy intensity rain
